
begin: 2013-07-19 19:11:45.099663 +0900 +0900

      :64(000001000000)--1032(010000001000)	29(000000011101)--1794(011100000010)	0(000000000000)--1024(010000000000)
      :64(000001000000)--1032(010000001000)	29(000000011101)--1794(011100000010)	0(000000000000)--8(000000001000)
      :132(000010000100)--2(000000000010)	28(000000011100)--641(001010000001)	0(000000000000)--2(000000000010)
      :132(000010000100)--2(000000000010)	28(000000011100)--641(001010000001)	4(000000000100)--0(000000000000)
      :132(000010000100)--2(000000000010)	28(000000011100)--641(001010000001)	128(000010000000)--0(000000000000)
      :132(000010000100)--2(000000000010)	28(000000011100)--704(001011000000)	0(000000000000)--2(000000000010)
      :132(000010000100)--2(000000000010)	28(000000011100)--704(001011000000)	4(000000000100)--0(000000000000)
      :132(000010000100)--2(000000000010)	28(000000011100)--704(001011000000)	128(000010000000)--0(000000000000)
      :132(000010000100)--2(000000000010)	28(000000011100)--672(001010100000)	0(000000000000)--2(000000000010)
      :132(000010000100)--2(000000000010)	28(000000011100)--672(001010100000)	4(000000000100)--0(000000000000)
      :132(000010000100)--2(000000000010)	28(000000011100)--672(001010100000)	128(000010000000)--0(000000000000)
    :1290(010100001010)--197(000011000101)	1808(011100010000)--2059(100000001011)	0(000000000000)--196(000011000100)
    :1290(010100001010)--197(000011000101)	1808(011100010000)--2059(100000001011)	1280(010100000000)--1(000000000001)
    :1290(010100001010)--197(000011000101)	1808(011100010000)--2059(100000001011)	10(000000001010)--0(000000000000)
      :0(000000000000)--196(000011000100)	542(001000011110)--2401(100101100001)	0(000000000000)--128(000010000000)
      :0(000000000000)--196(000011000100)	542(001000011110)--2401(100101100001)	0(000000000000)--64(000001000000)
      :0(000000000000)--196(000011000100)	542(001000011110)--2401(100101100001)	0(000000000000)--4(000000000100)
      :0(000000000000)--196(000011000100)	542(001000011110)--2465(100110100001)	0(000000000000)--64(000001000000)
      :0(000000000000)--196(000011000100)	542(001000011110)--2465(100110100001)	0(000000000000)--128(000010000000)
      :0(000000000000)--196(000011000100)	542(001000011110)--2465(100110100001)	0(000000000000)--4(000000000100)
      :0(000000000000)--196(000011000100)	542(001000011110)--3488(110110100000)	0(000000000000)--64(000001000000)
      :0(000000000000)--196(000011000100)	542(001000011110)--3488(110110100000)	0(000000000000)--128(000010000000)
      :0(000000000000)--196(000011000100)	542(001000011110)--3488(110110100000)	0(000000000000)--4(000000000100)
      :1280(010100000000)--1(000000000001)	646(001010000110)--2337(100100100001)	1024(010000000000)--0(000000000000)
      :1280(010100000000)--1(000000000001)	646(001010000110)--2337(100100100001)	0(000000000000)--1(000000000001)
      :1280(010100000000)--1(000000000001)	646(001010000110)--2337(100100100001)	256(000100000000)--0(000000000000)
      :1280(010100000000)--1(000000000001)	646(001010000110)--1105(010001010001)	256(000100000000)--0(000000000000)
      :1280(010100000000)--1(000000000001)	646(001010000110)--1105(010001010001)	0(000000000000)--1(000000000001)
      :1280(010100000000)--1(000000000001)	646(001010000110)--1105(010001010001)	1024(010000000000)--0(000000000000)
      :1280(010100000000)--1(000000000001)	646(001010000110)--3105(110000100001)	256(000100000000)--0(000000000000)
      :1280(010100000000)--1(000000000001)	646(001010000110)--3105(110000100001)	0(000000000000)--1(000000000001)
      :1280(010100000000)--1(000000000001)	646(001010000110)--3105(110000100001)	1024(010000000000)--0(000000000000)
      :10(000000001010)--0(000000000000)	408(000110011000)--1602(011001000010)	0(000000000000)--0(000000000000)
      :10(000000001010)--0(000000000000)	408(000110011000)--1602(011001000010)	8(000000001000)--0(000000000000)
      :10(000000001010)--0(000000000000)	408(000110011000)--1602(011001000010)	2(000000000010)--0(000000000000)
      :10(000000001010)--0(000000000000)	408(000110011000)--3586(111000000010)	0(000000000000)--0(000000000000)
      :10(000000001010)--0(000000000000)	408(000110011000)--3586(111000000010)	8(000000001000)--0(000000000000)
      :10(000000001010)--0(000000000000)	408(000110011000)--3586(111000000010)	2(000000000010)--0(000000000000)
      :10(000000001010)--0(000000000000)	408(000110011000)--3588(111000000100)	2(000000000010)--0(000000000000)
      :10(000000001010)--0(000000000000)	408(000110011000)--3588(111000000100)	8(000000001000)--0(000000000000)
      :10(000000001010)--0(000000000000)	408(000110011000)--3588(111000000100)	0(000000000000)--0(000000000000)
    :1290(010100001010)--197(000011000101)	1808(011100010000)--2186(100010001010)	0(000000000000)--69(000001000101)
    :1290(010100001010)--197(000011000101)	1808(011100010000)--2186(100010001010)	1280(010100000000)--128(000010000000)
    :1290(010100001010)--197(000011000101)	1808(011100010000)--2186(100010001010)	10(000000001010)--0(000000000000)
